DATE,2019,2020,2021
6/21,"2,719,643","590,456",
6/22,"2,716,428","607,540",
6/23,"2,506,510","471,421",
6/24,"2,594,661","494,826",
6/25,"2,711,222","623,624",
6/26,"2,730,515","632,984",
6/27,"2,368,846","546,310",
6/28,"2,632,030","633,810",
6/29,"2,455,536","625,235",
6/30,"2,347,767","500,054",
7/1,"2,547,889","626,516",
7/2,"2,088,760","764,761",
7/3,"2,184,253","718,988",
7/4,"2,345,846","466,669",
7/5,"2,795,369","732,123",
7/6,"2,748,718","755,555",
7/7,"2,506,859","641,761",
7/8,"2,515,902","632,498",
7/9,"2,608,209","709,653",
7/10,"2,716,812","711,124",
7/11,"2,312,178","656,284",
7/12,"2,669,717","754,545",
7/13,"2,615,115","697,985",
7/14,"2,447,177","540,268",
7/15,"2,522,563","589,285",
7/16,"2,716,828","706,164",
7/17,"2,776,960","720,378",
7/18,"2,396,462","646,654",
7/19,"2,727,355","747,422",
7/20,"2,635,312","695,330",
7/21,"2,499,460","530,421",
7/22,"2,561,911","570,951",
7/23,"2,705,399","704,815",
7/24,"2,732,770","724,770",
7/25,"2,364,925","649,027",
7/26,"2,700,723","751,205",
7/27,"2,613,346","700,043",
7/28,"2,438,967","536,756",
7/29,"2,542,365","573,200",
7/30,"2,742,882","718,310",
7/31,"2,730,936","767,320",
8/1,"2,367,967","709,033",
8/2,"2,688,640","799,861",
8/3,"2,619,406","737,235",
8/4,"2,387,115","543,601",
8/5,"2,430,094","595,739",
8/6,"2,707,986","743,599",
8/7,"2,725,000","762,547",
8/8,"2,290,340","683,212",
8/9,"2,647,897","831,789",
8/10,"2,567,986","761,861",
8/11,"2,306,829","559,420",
8/12,"2,391,906","590,749",
8/13,"2,602,446","761,821",
8/14,"2,627,564","783,744",
8/15,"2,171,962","689,895",
8/16,"2,584,444","862,949",
8/17,"2,576,965","773,319",
8/18,"2,247,446","565,946",
8/19,"2,306,838","586,718",
8/20,"2,533,184","772,380",
8/21,"2,559,244","764,468",
8/22,"2,039,233","625,822",
8/23,"2,493,162","841,806",
8/24,"2,358,007","726,788",
8/25,"2,015,088","523,186",
8/26,"2,188,688","540,043",
8/27,"2,561,109","721,060",
8/28,"2,658,558","738,873",
8/29,"1,954,902","591,734",
8/30,"1,887,845","807,695",
8/31,"2,278,159","711,178",
9/1,"2,037,750","516,068",
9/2,"1,889,044","578,131",
9/3,"2,109,858","877,698",
9/4,"2,198,828","968,673",
9/5,"1,755,502","664,640",
9/6,"2,370,003","689,630",
9/7,"2,292,985","935,308",
9/8,"1,943,379","704,075",
9/9,"2,005,867","616,923",
9/10,"2,449,302","755,051",
9/11,"2,484,025","731,353",
9/12,"1,879,822","613,703",
9/13,"2,485,134","809,850",
9/14,"2,405,832","729,558",
9/15,"2,013,050","522,383",
9/16,"2,146,857","577,847",
9/17,"2,455,410","784,746",
9/18,"2,571,924","812,214",
9/19,"1,938,402","638,575",
9/20,"2,517,826","847,968",
9/21,"2,431,388","769,936",
9/22,"2,033,490","549,741",
9/23,"2,188,236","608,726",
9/24,"2,510,926","826,316",
9/25,"2,547,611","826,329",
9/26,"1,966,234","659,350",
9/27,"2,452,596","873,038",
9/28,"2,368,818","797,699",
9/29,"1,998,980","568,688",
9/30,"2,082,179","634,046",
10/1,"2,447,687","855,908",
10/2,"2,526,835","857,186",
10/3,"1,921,185","677,661",
10/4,"2,542,118","900,911",
10/5,"2,400,153","816,838",
10/6,"2,035,628","590,766",
10/7,"2,215,233","668,519",
10/8,"2,605,291","936,915",
10/9,"2,688,032","968,545",
10/10,"2,074,718","769,868",
10/11,"2,555,333","984,234",
10/12,"2,616,771","958,440",
10/13,"2,313,632","680,894",
10/14,"2,317,763","717,940",
10/15,"2,581,007","950,024",
10/16,"2,637,667","973,046",
10/17,"2,049,855","788,743",
10/18,"2,606,266","1,031,505",
10/19,"2,514,673","921,031",
10/20,"2,126,637","662,484",
10/21,"2,245,199","694,150",
10/22,"2,541,581","934,386",
10/23,"2,594,337","958,437",
10/24,"1,931,971","755,287",
10/25,"2,478,287","983,745",
10/26,"2,347,017","898,735",
10/27,"1,910,506","648,517",
10/28,"2,066,516","666,957",
10/29,"2,047,910","873,636",
10/30,"2,319,906","892,712",
10/31,"1,836,781","618,476",
11/1,"2,459,525","936,092",
11/2,"2,403,304","846,138",
11/3,"2,005,101","575,829",
11/4,"2,147,882","636,533",
11/5,"2,507,365","867,105",
11/6,"2,544,350","895,091",
11/7,"1,908,805","689,951",
11/8,"2,356,349","973,020",
11/9,"2,465,392","836,600",
11/10,"2,150,003","596,475",
11/11,"2,072,207","674,633",
11/12,"2,364,920","866,679",
11/13,"2,437,211","881,579",
11/14,"1,807,230","697,360",
11/15,"2,396,681","978,297",
11/16,"2,298,856","883,157",
11/17,"1,900,895","611,497",
11/18,"2,071,631","703,135",
11/19,"2,428,095","907,332",
11/20,"2,550,459","1,019,836",
11/21,"2,194,291","984,369",
11/22,"2,321,546","1,047,934",
11/23,"2,254,188","917,354",
11/24,"2,435,170","912,090",
11/25,"2,624,250","1,070,967",
11/26,"1,591,158","560,902",
11/27,"1,968,137","820,399",
11/28,"2,648,268","964,630",
11/29,"2,882,915","1,176,091",
11/30,"2,591,470","981,912",
12/1,"2,280,403","780,283",
12/2,"2,054,380","632,356",
12/3,"2,262,878","738,050",
12/4,"2,278,205","753,951",
12/5,"1,755,801","629,430",
12/6,"2,292,079","837,137",
12/7,"2,226,290","703,546",
12/8,"1,897,051","501,513",
12/9,"2,020,488","564,372",
12/10,"2,362,310","754,307",
12/11,"2,388,029","787,489",
12/12,"1,893,871","662,380",
12/13,"2,300,248","865,014",
12/14,"2,250,386","752,451",
12/15,"2,009,112","552,024",
12/16,"2,234,374","641,966",
12/17,"2,471,408","846,934",
12/18,"2,608,088","1,066,747",
12/19,"2,487,987","1,073,563",
12/20,"2,519,399","1,064,619",
12/21,"2,490,503","954,782",
12/22,"1,981,433","992,167",
12/23,"1,937,235","1,191,123",
12/24,"2,552,194","846,520",
12/25,"2,582,580","616,469",
12/26,"2,470,786","1,128,773",
12/27,"2,575,985","1,284,599",
12/28,"2,500,396","1,111,751",
12/29,"2,009,880","1,019,347",
12/30,"2,133,253","1,163,696",
12/31,"2,392,331","874,406",
