Year,Month,DomesticPassengers,InternationalPassengers,TotalPassengers,DomesticFlights,InternationalFlights,TotalFlights
2020,Jan,"61,626,465","18,946,132","80,572,597","700,696","129,476","830,172"
2020,Feb,"59,861,408","15,823,231","75,684,639","660,464","115,512","775,976"
2020,Mar,"34,417,701","8,927,886","43,345,587","616,226","88,224","704,450"
2020,Apr,"2,879,556","396,394","3,275,950","217,243","9,017","226,260"
2020,May,"8,238,757","369,317","8,608,074","214,411","7,838","222,249"
2020,Jun,"16,207,969","801,741","17,009,710","273,131","11,799","284,930"
2020,Jul,"22,878,828","1,853,462","24,732,290","410,014","25,261","435,275"
2020,Aug,"23,910,340","2,267,701","26,178,041","435,303","28,147","463,450"
2020,Sep,"23,854,435","2,265,050","26,119,485","379,498","29,056","408,554"
2020,Oct,"28,026,415","2,951,660","30,978,075","410,113","35,599","445,712"
2020,Nov,"26,290,900","3,514,555","29,805,455","420,110","42,153","462,263"
