,Scheduled Flights,Cancelled Flights,Percent Cancelled
New York (JFK),2062,30,1.45%
Los Angeles (LAX),5271,59,1.12%
Chicago (ORD),8183,354,4.33%
Dallas/Fort Worth (DFW),19055,733,3.85%
Denver (DEN),1238,42,3.39%
Totals,35809,1218,3.40%
