Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2020,Jan,57630787,23373467,81004254
2020,Feb,55336176,18526225,73862401
2020,Mar,32526582,10221782,42748364
2020,Apr,2550811,342509,2893320
2020,May,6987716,468622,7456338
2020,Jun,14007580,884139,14891719
2020,Jul,20061944,1963035,22024980
2020,Aug,20942793,2597972,23540765
2020,Sep,20474546,2559885,23034431
2020,Oct,24425632,3401659,27827292
2020,Nov,23710950,4203356,27914306
